,date,code,open,close,volume
74,2017-04-26,sh.601398,4.8200,4.8700,85523283
75,2017-04-27,sh.601398,4.8600,4.8800,103045540
76,2017-04-28,sh.601398,4.8700,4.8800,66062290
77,2017-05-02,sh.601398,4.8600,4.8200,42386657
78,2017-05-03,sh.601398,4.8200,4.8100,76817862
79,2017-05-04,sh.601398,4.8000,4.8100,71789608
80,2017-05-05,sh.601398,4.7900,4.8600,125587515
81,2017-05-08,sh.601398,4.8300,4.9000,141458489
82,2017-05-09,sh.601398,4.8700,4.8700,77237372
83,2017-05-10,sh.601398,4.8600,4.9000,92043116
84,2017-05-11,sh.601398,4.9000,4.9300,106264449
85,2017-05-12,sh.601398,4.9200,5.0600,165151106
86,2017-05-15,sh.601398,5.0500,5.1000,155419012
87,2017-05-16,sh.601398,5.0800,5.0000,149869732
88,2017-05-17,sh.601398,4.9900,4.9600,118255241
89,2017-05-18,sh.601398,4.9400,5.0000,70772200
90,2017-05-19,sh.601398,5.0000,4.9800,44994834
91,2017-05-22,sh.601398,4.9600,5.0300,100114561
92,2017-05-23,sh.601398,5.0300,5.1000,137390290
93,2017-05-24,sh.601398,5.1000,5.1100,95807853
94,2017-05-25,sh.601398,5.1100,5.1600,251275643
95,2017-05-26,sh.601398,5.1300,5.2300,112049688
96,2017-05-31,sh.601398,5.2100,5.2500,117707354
97,2017-06-01,sh.601398,5.2400,5.3100,114488351
98,2017-06-02,sh.601398,5.3100,5.3000,120950101
99,2017-06-05,sh.601398,5.2800,5.1400,312940448
100,2017-06-06,sh.601398,5.1200,5.1400,110425338
101,2017-06-07,sh.601398,5.1300,5.1600,162508706
102,2017-06-08,sh.601398,5.1500,5.1600,142465432
103,2017-06-09,sh.601398,5.1600,5.1600,231780237
104,2017-06-12,sh.601398,5.1600,5.1500,160685574
105,2017-06-13,sh.601398,5.1500,5.1500,93243486
106,2017-06-14,sh.601398,5.1400,5.1500,73448903
107,2017-06-15,sh.601398,5.1400,5.0500,197601299
108,2017-06-16,sh.601398,5.0400,5.0400,138772483
109,2017-06-19,sh.601398,5.0400,5.0000,205078202
110,2017-06-20,sh.601398,5.0000,5.0400,196928148
111,2017-06-21,sh.601398,5.0500,5.0500,114963498
112,2017-06-22,sh.601398,5.0500,5.1000,312153824
113,2017-06-23,sh.601398,5.1000,5.1400,163591643
114,2017-06-26,sh.601398,5.1300,5.1100,302039264
115,2017-06-27,sh.601398,5.1000,5.0900,210133173
116,2017-06-28,sh.601398,5.0900,5.0700,245079211
