date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,date,divCash,high,low,open,splitFactor,volume
2010-06-07T00:00:00.000Z,43.9674770006,44.7904769917,43.8933328573,44.4716571753,28389500,59.3,2010-06-07T00:00:00.000Z,0.0,60.41,59.2,59.98,1.0,28389500
2010-06-08T00:00:00.000Z,45.4058733814,45.5541616681,44.0267923153,44.2047382593,48460700,61.24,2010-06-08T00:00:00.000Z,0.0,61.44,59.38,59.62,1.0,48460700
2010-06-09T00:00:00.000Z,44.508729247,45.6727922975,44.353026546,45.6579634688,31693200,60.03,2010-06-09T00:00:00.000Z,0.0,61.6,59.82,61.58,1.0,31693200
2010-06-10T00:00:00.000Z,45.8878103131,45.9693688708,45.3465580668,45.5986481541,33020100,61.89,2010-06-10T00:00:00.000Z,0.0,62.0,61.16,61.5,1.0,33020100
2010-06-11T00:00:00.000Z,45.8655670701,45.9100535561,45.3613868954,45.7321076121,21227100,61.86,2010-06-11T00:00:00.000Z,0.0,61.92,61.18,61.68,1.0,21227100
2010-06-14T00:00:00.000Z,45.5022607678,46.3104319302,45.4651886961,46.0138553568,24667800,61.37,2010-06-14T00:00:00.000Z,0.0,62.46,61.32,62.06,1.0,24667800
2010-06-15T00:00:00.000Z,46.3475040018,46.3919904879,45.5912337398,45.8878103131,24532600,62.51,2010-06-15T00:00:00.000Z,0.0,62.57,61.49,61.89,1.0,24532600
2010-06-16T00:00:00.000Z,46.3475040018,46.4290625595,45.8952247275,45.9471256278,20652700,62.51,2010-06-16T00:00:00.000Z,0.0,62.62,61.9,61.97,1.0,20652700
2010-06-17T00:00:00.000Z,46.4142337309,46.4883778742,45.9322967991,46.2807742728,23310200,62.6,2010-06-17T00:00:00.000Z,0.0,62.7,61.95,62.42,1.0,23310200
2010-06-18T00:00:00.000Z,46.7849544476,46.9851436346,46.2659454442,46.5476931889,32747000,63.1,2010-06-18T00:00:00.000Z,0.0,63.37,62.4,62.78,1.0,32747000
2010-06-21T00:00:00.000Z,46.8071976906,47.8229724543,46.5995940892,47.526395881,24877600,63.13,2010-06-21T00:00:00.000Z,0.0,64.5,62.85,64.1,1.0,24877600
2010-06-22T00:00:00.000Z,45.9248823848,46.8590985909,45.8136661698,46.8071976906,26147000,61.94,2010-06-22T00:00:00.000Z,0.0,63.2,61.79,63.13,1.0,26147000
2010-06-23T00:00:00.000Z,45.3020715808,46.1621436435,45.1537832941,45.7543508551,38058900,61.1,2010-06-23T00:00:00.000Z,0.0,62.26,60.9,61.71,1.0,38058900
2010-06-24T00:00:00.000Z,44.5383869044,45.3762157241,44.3900986177,45.0944679794,34188500,60.07,2010-06-24T00:00:00.000Z,0.0,61.2,59.87,60.82,1.0,34188500
2010-06-25T00:00:00.000Z,43.819188714,44.664431948,43.819188714,44.597702219,118023500,59.1,2010-06-25T00:00:00.000Z,0.0,60.24,59.1,60.15,1.0,118023500
2010-06-28T00:00:00.000Z,43.3520806109,44.0342067296,43.3520806109,43.974891415,43013000,58.47,2010-06-28T00:00:00.000Z,0.0,59.39,58.47,59.31,1.0,43013000
2010-06-29T00:00:00.000Z,42.4771797195,43.0703328662,42.2621617038,43.0036031372,52525000,57.29,2010-06-29T00:00:00.000Z,0.0,58.09,57.0,58.0,1.0,52525000
2010-06-30T00:00:00.000Z,42.3140626042,42.8034139502,42.2028463891,42.5068373768,43944900,57.07,2010-06-30T00:00:00.000Z,0.0,57.73,56.92,57.33,1.0,43944900
2010-07-01T00:00:00.000Z,41.9729995448,42.4623508908,41.6467653141,42.2473328751,47746400,56.61,2010-07-01T00:00:00.000Z,0.0,57.27,56.17,56.98,1.0,47746400
2010-07-02T00:00:00.000Z,41.9433418875,42.2547472895,41.4762337844,42.1509454888,32767900,56.57,2010-07-02T00:00:00.000Z,0.0,56.99,55.94,56.85,1.0,32767900
2010-07-06T00:00:00.000Z,42.6032247632,42.6996121495,42.0916301741,42.3882067475,36912100,57.46,2010-07-06T00:00:00.000Z,0.0,57.59,56.77,57.17,1.0,36912100
2010-07-07T00:00:00.000Z,43.3224229536,43.3372517822,42.4549364765,42.5364950342,41797200,58.43,2010-07-07T00:00:00.000Z,0.0,58.45,57.26,57.37,1.0,41797200
2010-07-08T00:00:00.000Z,43.6041706983,43.8933328573,43.0999905236,43.841431957,40430300,58.81,2010-07-08T00:00:00.000Z,0.0,59.2,58.13,59.13,1.0,40430300
2010-07-09T00:00:00.000Z,43.5819274553,43.7524589849,43.2260355672,43.5670986266,25976500,58.78,2010-07-09T00:00:00.000Z,0.0,59.01,58.3,58.76,1.0,25976500
2010-07-12T00:00:00.000Z,43.7005580846,43.7005580846,43.1518914239,43.2186211529,23515000,58.94,2010-07-12T00:00:00.000Z,0.0,58.94,58.2,58.29,1.0,23515000
2010-07-13T00:00:00.000Z,44.0564499726,44.2788824027,43.7747022279,44.1899094307,30514200,59.42,2010-07-13T00:00:00.000Z,0.0,59.72,59.04,59.6,1.0,30514200
2010-07-14T00:00:00.000Z,43.9378193433,43.997134658,43.4632968259,43.908161686,26061100,59.26,2010-07-14T00:00:00.000Z,0.0,59.34,58.62,59.22,1.0,26061100
2010-07-15T00:00:00.000Z,43.9452337576,44.108350873,43.4410535829,44.0119634866,24737300,59.27,2010-07-15T00:00:00.000Z,0.0,59.49,58.59,59.36,1.0,24737300
2010-07-16T00:00:00.000Z,42.9739454799,43.8266031283,42.8627292649,43.6264139413,35805700,57.96,2010-07-16T00:00:00.000Z,0.0,59.11,57.81,58.84,1.0,35805700
2010-07-19T00:00:00.000Z,43.3224229536,43.5522697979,43.0777472806,43.2482788102,20960000,58.43,2010-07-19T00:00:00.000Z,0.0,58.74,58.1,58.33,1.0,20960000
2010-07-20T00:00:00.000Z,43.7079724989,43.7376301563,42.7589274642,42.7663418785,23807300,58.95,2010-07-20T00:00:00.000Z,0.0,58.99,57.67,57.68,1.0,23807300
2010-07-21T00:00:00.000Z,43.1296481809,43.841431957,42.7070265639,43.841431957,26859700,58.17,2010-07-21T00:00:00.000Z,0.0,59.13,57.6,59.13,1.0,26859700
2010-07-22T00:00:00.000Z,44.0267923153,44.330783303,43.4929544833,43.5300265549,27051400,59.38,2010-07-22T00:00:00.000Z,0.0,59.79,58.66,58.71,1.0,27051400
2010-07-23T00:00:00.000Z,44.2788824027,44.3456121317,43.5967562839,43.9378193433,19281400,59.72,2010-07-23T00:00:00.000Z,0.0,59.81,58.8,59.26,1.0,19281400
2010-07-26T00:00:00.000Z,44.775648163,44.8127202347,44.2121526737,44.264053574,20236500,60.39,2010-07-26T00:00:00.000Z,0.0,60.44,59.63,59.7,1.0,20236500
2010-07-27T00:00:00.000Z,45.0870535651,45.1537832941,44.775648163,44.9461796927,22400800,60.81,2010-07-27T00:00:00.000Z,0.0,60.9,60.39,60.62,1.0,22400800
2010-07-28T00:00:00.000Z,45.1611977084,45.4281166244,45.0277382504,45.0277382504,23511100,60.91,2010-07-28T00:00:00.000Z,0.0,61.27,60.73,60.73,1.0,23511100
2010-07-29T00:00:00.000Z,44.7385760914,45.8803958988,44.7015040197,45.5393328394,33763000,60.34,2010-07-29T00:00:00.000Z,0.0,61.88,60.29,61.42,1.0,33763000
2010-07-30T00:00:00.000Z,44.2492247453,44.864621135,44.1882782595,44.597702219,29354600,59.68,2010-07-30T00:00:00.000Z,0.0,60.51,59.5978,60.15,1.0,29354600
2010-08-02T00:00:00.000Z,45.9248823848,45.9990265281,44.9387652784,44.9610085214,28144000,61.94,2010-08-02T00:00:00.000Z,0.0,62.04,60.61,60.64,1.0,28144000
2010-08-03T00:00:00.000Z,46.5032067029,46.7033958899,45.8803958988,45.9545400421,31075800,62.72,2010-08-03T00:00:00.000Z,0.0,62.99,61.88,61.98,1.0,31075800
